Dataset,Threat Level
Account balances,0
Address book contacts,1
Age groups,0
Ages,1
Appointments,1
Apps installed on devices,0
Astrological signs,0
Audio recordings,2
Auth tokens,3
Avatars,0
Bank account numbers,3
Beauty ratings,0
Biometric data,3
Bios,0
Browser user agent details,0
Browsing histories,1
Buying preferences,1
Car ownership statuses,1
Career levels,1
Cellular network names,0
Charitable donations,1
Chat logs,2
Credit card CVV,3
Credit cards,3
Credit status information,2
Customer feedback,1
Customer interactions,1
Dates of birth,2
Deceased date,1
Deceased statuses,1
Delivery instructions,1
Device information,1
Device serial numbers,1
Device usage tracking data,1
Drinking habits,1
Driver's licenses,3
Drug habits,2
Eating habits,1
Education levels,1
Email addresses,1
Email messages,2
Employers,1
Employment statuses,1
Encrypted keys,3
Ethnicities,1
Family members' names,2
Family plans,1
Family structure,1
Financial investments,2
Financial transactions,2
Fitness levels,1
Flights taken,1
Genders,0
Geographic locations,1
Government issued IDs,3
Health insurance information,2
Historical passwords,2
HIV statuses,2
Home ownership statuses,1
Homepage URLs,0
IMEI numbers,2
IMSI numbers,2
Income levels,2
Instant messenger identities,1
IP addresses,2
Job applications,2
Job titles,1
Licence plates,2
Living costs,1
Loan information,2
Login histories,2
MAC addresses,2
Marital statuses,1
Mnemonic phrases,3
Mothers maiden names,2
Names,1
Nationalities,1
Net worths,2
Nicknames,0
Occupations,1
Parenting plans,1
Partial credit card data,2
Partial dates of birth,1
Partial phone numbers,1
Passport numbers,3
Password hints,2
Password strengths,0
Passwords,3
Payment histories,2
Payment methods,2
Personal descriptions,1
Personal health data,2
Personal interests,0
Phone numbers,2
Photos,1
Physical addresses,2
Physical attributes,1
PINs,3
Places of birth,1
Political donations,1
Political views,1
Private messages,2
Professional skills,1
Profile photos,0
Purchases,1
Purchasing habits,1
Races,1
Recovery email addresses,2
Relationship statuses,1
Religions,1
Reward program balances,0
Salutations,0
School grades (class levels),1
Security questions and answers,3
Sexual fetishes,2
Sexual orientations,1
Smoking habits,1
SMS messages,2
Social connections,1
Social media profiles,1
Social security numbers,3
Spoken languages,0
Spouses names,1
Support tickets,1
Survey results,1
Taxation records,2
Time zones,0
Travel habits,1
User statuses,0
User website URLs,0
Usernames,1
